Token	Corpus	Text	Line_Number	Genre	Type	Whole_Genitive	Possessor	Possessor_Head	Possessor_NP_Type	Final_Sibilant	Possessor_Animacy5	Possessor_Animacy3	Possessor_Animacy2	Possessor_Givenness	Possessum	Possessum_Head	Possessum_Animacy2	Semantic_Relation	Prototypical_Semantics	Preceding_s_genitive	Possessor_Thematicity	Possessor_Length	Possessum_Length	Type_Token_Ratio	Time
bg09.0070.01	Brown	G09	70	Non-fiction	of	the practical function of his actions	his actions	actions	common	Y	inanimate	inanimate	inanimate	given	the practical function	function	inanimate	OTH	N	N	-3	2	3	85	1960
bg09.0077.01	Brown	G09	77	Non-fiction	of	the individual movements of the dance	the dance	dance	common	Y	inanimate	inanimate	inanimate	given	the individual movements	movements	inanimate	OTH	N	N	-1.769551079	2	3	76	1960
bg09.0077.02	Brown	G09	77	Non-fiction	of	the shape of their continuity	their continuity	continuity	common	N	inanimate	inanimate	inanimate	new	the shape	shape	inanimate	OTH	N	N	-2.602059991	2	2	76	1960
bg09.0090.01	Brown	G09	90	Non-fiction	of	the temporal organization of the dance	the dance	dance	common	Y	inanimate	inanimate	inanimate	given	the temporal organization	organization	inanimate	OTH	N	N	-1.769551079	2	3	65	1960
bg09.0092.01	Brown	G09	92	Non-fiction	of	the number of the dancers	the dancers	dancer	common	Y	animate	animate	animate	given	the number	number	inanimate	OTH	N	N	-1.978810701	2	2	67	1960
bg09.0092.02	Brown	G09	92	Non-fiction	of	the approximate total duration of the dance	the dance	dance	common	Y	inanimate	inanimate	inanimate	given	the approximate total duration	duration	inanimate	OTH	N	N	-1.769551079	2	4	67	1960
bg09.0095.02	Brown	G09	95	Non-fiction	of	the order of the segments	the segments	segments	common	Y	inanimate	inanimate	inanimate	new	the order	order	inanimate	OTH	N	N	-3	2	2	75	1960
bg10.0002.03	Brown	G10	2	Non-fiction	of	the calibre of Webster and Calhoun	Webster and Calhoun	Webster and Calhoun	proper	N	animate	animate	animate	new	the calibre	calibre	inanimate	OTH	N	N	-3.301029996	3	2	74	1960
bg10.0002.05	Brown	G10	2	Non-fiction	of	the nobility of Lincoln and Lee	Lincoln and Lee	Lincoln and Lee	proper	N	animate	animate	animate	new	the nobility	nobility	inanimate	OTH	N	N	-2.22184875	3	2	74	1960
bg10.0004.01	Brown	G10	4	Non-fiction	of	the Missouri Compromise of 1821	1821	1821	proper	N	time	inanimate	inanimate	new	the Missouri Compromise	Missouri Compromise	inanimate	OTH	N	N	-3.301029996	1	3	77	1960
bg10.0005.01	Brown	G10	5	Non-fiction	of	the bloodiest war of the Nineteenth century	the Nineteenth century	Nineteenth century	proper	N	time	inanimate	inanimate	new	the bloodiest war	war	inanimate	OTH	N	N	-3	3	3	74	1960
bg10.0006.01	Brown	G10	6	Non-fiction	of	the immensity of the danger to democratic peoples	the danger to democratic peoples	danger	common	Y	inanimate	inanimate	inanimate	given	the immensity	immensity	inanimate	OTH	N	N	-2.698970004	5	2	73	1960
bg10.0011.02	Brown	G10	11	Non-fiction	of	the people of sovereign states	sovereign states	state	common	Y	collective	collective	inanimate	new	the people	people	animate	OTH	N	N	-1.732828272	2	2	74	1960
bg10.0012.03	Brown	G10	12	Non-fiction	of	the liberty of the people	the people	people	common	N	animate	animate	animate	given	the liberty	liberty	inanimate	OTH	N	N	-2.124938737	2	2	74	1960
bg10.0013.01	Brown	G10	13	Non-fiction	of	The champions of the Union	the Union	Union	common	N	collective	collective	inanimate	given	The champions	champions	animate	OTH	N	N	-1.978810701	2	2	70	1960
bg10.0021.02	Brown	G10	21	Non-fiction	of	the Articles of Confederation of 1781	1781	1781	proper	N	time	inanimate	inanimate	new	the Articles of Confederation	Articles of Confederation	inanimate	OTH	N	N	-3.301029996	1	4	57	1960
bg10.0026.02	Brown	G10	26	Non-fiction	of	the right of each state	each state	state	common	N	collective	collective	inanimate	given	the right	right	inanimate	OTH	N	N	-1.732828272	2	2	69	1960
bg10.0031.03	Brown	G10	31	Non-fiction	of	the Declaration of 1776	1776	1776	proper	Y	time	inanimate	inanimate	new	the Declaration	Declaration	inanimate	OTH	N	N	-3.301029996	1	2	70	1960
bg10.0036.02	Brown	G10	36	Non-fiction	of	the blessings of liberty	liberty	liberty	common	N	inanimate	inanimate	inanimate	new	the blessings	blessings	inanimate	OTH	N	N	-2.301029996	1	2	62	1960
bg10.0037.03	Brown	G10	37	Non-fiction	of	the blessings of liberty	liberty	liberty	common	N	inanimate	inanimate	inanimate	new	the blessings	blessings	inanimate	OTH	N	N	-2.301029996	1	2	62	1960
bg10.0037.05	Brown	G10	37	Non-fiction	of	the favor and the guidance of Almighty God	Almighty God	God	proper	N	animate	animate	animate	new	the favor and the guidance	favor	inanimate	OTH	N	N	-3.301029996	2	5	62	1960
bg10.0038.02	Brown	G10	38	Non-fiction	of	the worst war of the Nineteenth century	the Nineteenth century	Nineteenth century	proper	N	time	inanimate	inanimate	given	the worst war	war	inanimate	OTH	N	N	-3	3	3	66	1960
bg10.0040.01	Brown	G10	40	Non-fiction	of	the sovereignty of the states	the states	state	common	Y	collective	collective	inanimate	given	the sovereignty	sovereignty	inanimate	OTH	N	N	-1.732828272	2	2	72	1960
bg10.0043.02	Brown	G10	43	Non-fiction	of	the forerunner of a dangerous shift in the federal balance in favor of the Union	a dangerous shift in the federal balance in favor of the Union	shift	common	N	inanimate	inanimate	inanimate	new	the forerunner	forerunner	inanimate	OTH	N	N	-3.301029996	8	2	67	1960
bg10.0049.01	Brown	G10	49	Non-fiction	of	the sovereignty of their states	their states	state	common	Y	collective	collective	inanimate	given	the sovereignty	sovereignty	inanimate	OTH	N	N	-1.732828272	2	2	77	1960
bg10.0049.05	Brown	G10	49	Non-fiction	of	the antithesis of individual liberty	individual liberty	liberty	common	N	inanimate	inanimate	inanimate	new	the antithesis	antithesis	inanimate	OTH	N	N	-2.301029996	2	2	77	1960
bg10.0050.01	Brown	G10	50	Non-fiction	s	America's true sovereign	America's	America	proper	N	collective	collective	inanimate	given	true sovereign	sovereign	animate	OTH	N	N	-2.187086643	1	2	63	1960
bg10.0051.03	Brown	G10	51	Non-fiction	of	the sovereign rights of men and of states	men and of states	men	common	Y	collective	collective	inanimate	new	the sovereign rights	right	inanimate	OTH	N	Y	-2.346787486	4	3	62	1960
bg10.0056.01	Brown	G10	56	Non-fiction	s	Lincoln's day	Lincoln's	Lincoln	proper	N	animate	animate	animate	given	day	day	inanimate	OTH	N	N	-2.22184875	1	1	72	1960
bg10.0057.01	Brown	G10	57	Non-fiction	of	the sovereignty of the citizen	the citizen	citizen	common	N	animate	animate	animate	given	the sovereignty	sovereignty	inanimate	OTH	N	Y	-2.397940009	2	2	74	1960
bg10.0057.02	Brown	G10	57	Non-fiction	of	the limitation of sovereignty	sovereignty	sovereignty	common	N	inanimate	inanimate	inanimate	new	the limitation	limitation	inanimate	OTH	N	N	-2.301029996	1	2	74	1960
bg10.0058.02	Brown	G10	58	Non-fiction	of	the dangers of anarchy	anarchy	anarchy	common	N	inanimate	inanimate	inanimate	new	the dangers	dangers	inanimate	OTH	N	N	-3	1	2	67	1960
bg10.0058.03	Brown	G10	58	Non-fiction	of	the liberties of their people	their people	people	common	N	animate	animate	animate	given	the liberties	liberties	inanimate	OTH	N	N	-2.124938737	2	2	67	1960
bg10.0060.03	Brown	G10	60	Non-fiction	of	the sovereignty of man	man	man	common	N	animate	animate	animate	new	the sovereignty	sovereignty	inanimate	OTH	N	N	-2.397940009	1	2	69	1960
bg10.0065.03	Brown	G10	65	Non-fiction	s	freedom's other foe	freedom's	freedom	common	N	inanimate	inanimate	inanimate	new	other foe	foe	inanimate	OTH	N	N	-2.522878745	1	2	69	1960
bg11.0001.01	Brown	G11	1	Non-fiction	of	the entropy-increasing properties of the external world	the external world	world	common	N	inanimate	inanimate	inanimate	new	the entropy-increasing properties	properties	inanimate	OTH	N	N	-2.602059991	3	3	72	1960
bg11.0002.01	Brown	G11	2	Non-fiction	of	The useful suggestion of Professor David Hawkins	Professor David Hawkins	Hawkins	proper	Y	animate	animate	animate	new	The useful suggestion	suggestion	inanimate	OTH	N	N	-3.301029996	3	3	69	1960
bg11.0007.02	Brown	G11	7	Non-fiction	of	the warmth of a fire	a fire	fire	common	N	inanimate	inanimate	inanimate	new	the warmth	warmth	inanimate	OTH	N	N	-3	2	2	75	1960
bg11.0007.03	Brown	G11	7	Non-fiction	of	the buoyant protection of a boat	a boat	boat	common	N	inanimate	inanimate	inanimate	new	the buoyant protection	protection	inanimate	OTH	N	N	-3.301029996	2	3	75	1960
bg11.0007.04	Brown	G11	7	Non-fiction	of	the formulations of Archimedes	Archimedes	Archimedes	proper	Y	animate	animate	animate	new	the formulations	formulations	inanimate	OTH	N	N	-3.301029996	1	2	75	1960
bg11.0009.01	Brown	G11	9	Non-fiction	of	The temperature of our homes	our homes	homes	common	Y	inanimate	inanimate	inanimate	new	The temperature	temperature	inanimate	OTH	N	N	-3.301029996	2	2	74	1960
bg11.0009.03	Brown	G11	9	Non-fiction	of	The range of our voice	our voice	voice	common	Y	inanimate	inanimate	inanimate	new	The range	range	inanimate	OTH	N	N	-3.301029996	2	2	74	1960
bg11.0011.01	Brown	G11	11	Non-fiction	of	the future of psychology	psychology	psychology	common	N	inanimate	inanimate	inanimate	new	the future	future	inanimate	OTH	N	N	-3.301029996	1	2	78	1960
bg11.0011.02	Brown	G11	11	Non-fiction	of	the rich future of physics at the time of Newton	physics at the time of Newton	physics	common	N	inanimate	inanimate	inanimate	new	the rich future	future	inanimate	OTH	N	N	-2.522878745	6	3	78	1960
bg11.0011.03	Brown	G11	11	Non-fiction	of	the time of Newton	Newton	Newton	proper	N	animate	animate	animate	new	the time	time	inanimate	OTH	N	N	-3	1	2	78	1960
bg11.0019.02	Brown	G11	19	Non-fiction	of	the mercy of man	man	man	common	N	animate	animate	animate	new	the mercy	mercy	inanimate	OTH	N	N	-2.301029996	1	2	74	1960
bg11.0020.02	Brown	G11	20	Non-fiction	of	the hardware of destruction	destruction	destruction	common	N	inanimate	inanimate	inanimate	new	the hardware	hardware	inanimate	OTH	N	N	-3.301029996	1	2	73	1960
bg11.0023.02	Brown	G11	23	Non-fiction	of	the will of God	God	God	proper	N	animate	animate	animate	new	the will	will	inanimate	OTH	N	N	-3.301029996	1	2	70	1960
bg11.0025.01	Brown	G11	25	Non-fiction	of	the primeval fears of man	man	man	common	N	animate	animate	animate	new	the primeval fears	fears	inanimate	OTH	N	N	-2.301029996	1	3	74	1960
bg11.0043.01	Brown	G11	43	Non-fiction	of	the remote possibility of planetoid collision	planetoid collision	collision	common	N	inanimate	inanimate	inanimate	new	the remote possibility	possibility	inanimate	OTH	N	N	-3.301029996	2	3	82	1960
bg11.0054.03	Brown	G11	54	Non-fiction	of	the streets of a large city	a large city	city	common	N	place	inanimate	inanimate	new	the streets	streets	inanimate	PART	Y	N	-3.301029996	3	2	64	1960
bg11.0059.03	Brown	G11	59	Non-fiction	of	the performance of a rain dance	a rain dance	dance	common	Y	inanimate	inanimate	inanimate	new	the performance	performance	inanimate	OTH	N	N	-3.301029996	3	2	82	1960
bg11.0065.01	Brown	G11	65	Non-fiction	of	the compulsions of celestial bodies to move in circles	celestial bodies	body	common	Y	inanimate	inanimate	inanimate	new	the compulsions	compulsions	inanimate	OTH	N	N	-3.301029996	2	2	78	1960
bg11.0071.03	Brown	G11	71	Non-fiction	of	the mechanisms of heredity	heredity	heredity	common	N	inanimate	inanimate	inanimate	new	the mechanisms	mechanisms	inanimate	OTH	N	N	-3.301029996	1	2	78	1960
bg11.0072.01	Brown	G11	72	Non-fiction	of	The major effect of these advances	these advances	advances	common	Y	inanimate	inanimate	inanimate	given	The major effect	effect	inanimate	OTH	N	N	-2.823908741	2	3	77	1960
bg11.0075.01	Brown	G11	75	Non-fiction	of	the explanations of the scientists	the scientists	scientists	common	Y	animate	animate	animate	new	the explanations	explanations	inanimate	OTH	N	N	-3.301029996	2	2	81	1960
bg11.0078.02	Brown	G11	78	Non-fiction	of	the imminence of some natural disaster	some natural disaster	disaster	common	N	inanimate	inanimate	inanimate	new	the imminence	imminence	inanimate	OTH	N	N	-3	3	2	73	1960
bg11.0085.02	Brown	G11	85	Non-fiction	of	the reduction of fear	fear	fear	common	N	inanimate	inanimate	inanimate	new	the reduction	reduction	inanimate	OTH	N	N	-1.853871964	1	2	75	1960
bg11.0085.05	Brown	G11	85	Non-fiction	of	the nature of disease	disease	disease	common	Y	inanimate	inanimate	inanimate	new	the nature	nature	inanimate	OTH	N	N	-2.698970004	1	2	75	1960
bg12.0007.01	Brown	G12	7	Non-fiction	of	Harold Clurman of The Nation	The Nation	Nation	proper	N	collective	collective	inanimate	new	Harold Clurman	Harold Clurman	animate	OTH	N	N	-3.301029996	2	2	71	1960
bg12.0008.01	Brown	G12	8	Non-fiction	s	Beckett's writing	Beckett's	Beckett	proper	N	animate	animate	animate	given	writing	writing	inanimate	OTH	N	N	-2.301029996	1	1	72	1960
bg12.0015.01	Brown	G12	15	Non-fiction	s	Beckett's name	Beckett's	Beckett	proper	N	animate	animate	animate	given	name	name	inanimate	OTH	N	Y	-2.301029996	1	1	85	1960
bg12.0017.01	Brown	G12	17	Non-fiction	s	Beckett's appearance	Beckett's	Beckett	proper	N	animate	animate	animate	given	appearance	appearance	inanimate	OTH	N	Y	-2.301029996	1	1	79	1960
bg12.0018.01	Brown	G12	18	Non-fiction	of	The features of his face	his face	face	common	Y	inanimate	inanimate	inanimate	new	The features	features	inanimate	OTH	N	Y	-2.602059991	2	2	76	1960
bg12.0039.01	Brown	G12	39	Non-fiction	of	The only chance of renovation	renovation	renovation	common	N	inanimate	inanimate	inanimate	new	The only chance	chance	inanimate	OTH	N	N	-3.301029996	1	3	60	1960
bg12.0050.01	Brown	G12	50	Non-fiction	of	the pressure of chaotic things	chaotic things	thing	common	Y	inanimate	inanimate	inanimate	new	the pressure	pressure	inanimate	OTH	N	N	-2.602059991	2	2	66	1960
bg12.0053.01	Brown	G12	53	Non-fiction	of	the very opposite of form	form	form	common	N	inanimate	inanimate	inanimate	new	the very opposite	opposite	inanimate	OTH	N	N	-2.187086643	1	3	69	1960
bg12.0061.01	Brown	G12	61	Non-fiction	s	Beckett's own work	Beckett's	Beckett	proper	N	animate	animate	animate	given	own work	work	inanimate	OTH	N	N	-2.301029996	1	2	67	1960
bg12.0068.01	Brown	G12	68	Non-fiction	of	the task of the artist	the artist	artist	common	N	animate	animate	animate	given	the task	task	inanimate	OTH	N	Y	-3.301029996	2	2	68	1960
bg12.0069.01	Brown	G12	69	Non-fiction	of	the art of the past	the past	past	common	N	inanimate	inanimate	inanimate	new	the art	art	inanimate	OTH	N	N	-3	2	2	71	1960
bg12.0083.01	Brown	G12	83	Non-fiction	of	the edge of suicide	suicide	suicide	common	N	inanimate	inanimate	inanimate	new	the edge	edge	inanimate	OTH	N	N	-3.301029996	1	2	73	1960
bg12.0083.02	Brown	G12	83	Non-fiction	s	Hamm's world	Hamm's	Hamm	proper	N	animate	animate	animate	given	world	world	inanimate	OTH	N	N	-3.301029996	1	1	73	1960
bg12.0089.01	Brown	G12	89	Non-fiction	s	Augustine's doctrine of grace given and grace withheld	Augustine's	Augustine	proper	N	animate	animate	animate	new	doctrine of grace given and grace withheld	doctrine	inanimate	OTH	N	Y	-3.301029996	1	7	79	1960
bg12.0089.02	Brown	G12	89	Non-fiction	of	Augustine's doctrine of grace given and grace withheld	grace given and grace withheld	grace	common	N	inanimate	inanimate	inanimate	new	Augustine's doctrine	doctrine	inanimate	OTH	N	Y	-2.823908741	5	2	79	1960
bg12.0093.01	Brown	G12	93	Non-fiction	of	The destiny of Racine's Phedre	Racine's Phedre	Racine	proper	N	animate	animate	animate	new	The destiny	destiny	inanimate	OTH	N	N	-3.301029996	2	2	69	1960
bg12.0095.01	Brown	G12	95	Non-fiction	of	the beginning of the play	the play	play	common	N	inanimate	inanimate	inanimate	new	the beginning	beginning	inanimate	OTH	N	Y	-2.259637311	2	2	68	1960
bg12.0116.01	Brown	G12	116	Non-fiction	of	the dogs of Ireland	Ireland	Ireland	proper	N	place	inanimate	inanimate	given	the dogs	dogs	animate	OTH	N	N	-3.301029996	1	2	76	1960
bg12.0128.01	Brown	G12	128	Non-fiction	of	the taxis of London	London	London	proper	N	place	inanimate	inanimate	new	the taxis	taxis	inanimate	OTH	N	N	-3.301029996	1	2	74	1960
bg12.0130.01	Brown	G12	130	Non-fiction	of	The personal quality of Samuel Beckett	Samuel Beckett	Beckett	proper	N	animate	animate	animate	new	The personal quality	quality	inanimate	OTH	N	N	-2.301029996	2	3	78	1960
bg12.0137.03	Brown	G12	137	Non-fiction	s	"Europe's present politics , ethic , and common way of life"	Europe's	Europe	proper	N	collective	collective	inanimate	new	"present politics , ethic , and common way of life"	politics	inanimate	OTH	N	N	-2.602059991	1	8	69	1960
bg12.0140.03	Brown	G12	140	Non-fiction	of	the not-strictly-practical ends of culture	culture	culture	common	N	inanimate	inanimate	inanimate	new	the not-strictly-practical ends	ends	inanimate	OTH	N	Y	-3.301029996	1	3	69	1960
bg12.0141.01	Brown	G12	141	Non-fiction	of	this mature phase of development	development	development	common	N	inanimate	inanimate	inanimate	new	this mature phase	phase	inanimate	OTH	N	N	-3.301029996	1	3	69	1960
bg13.0002.01	Brown	G13	2	Non-fiction	s	Hemingway's fiction	Hemingway's	Hemingway	proper	N	animate	animate	animate	given	fiction	fiction	inanimate	OTH	N	N	-3	1	1	76	1960
bg13.0009.02	Brown	G13	9	Non-fiction	of	the way of life and literary aspirations of this group	this group	group	common	N	collective	collective	inanimate	given	the way of life and literary aspirations	way of life	inanimate	OTH	N	Y	-3	2	7	63	1960
bg13.0011.01	Brown	G13	11	Non-fiction	of	the rank of the godhead	the godhead	godhead	common	N	animate	animate	animate	new	the rank	rank	inanimate	OTH	N	N	-3.301029996	2	2	65	1960
bg13.0011.02	Brown	G13	11	Non-fiction	of	the body of the universe	the universe	universe	common	Y	inanimate	inanimate	inanimate	new	the body	body	inanimate	OTH	N	N	-2.698970004	2	2	65	1960
bg13.0012.01	Brown	G13	12	Non-fiction	of	the orgiastic release of the sexual impulse	the sexual impulse	impulse	common	Y	inanimate	inanimate	inanimate	new	the orgiastic release	release	inanimate	OTH	N	N	-3	3	3	65	1960
bg13.0013.03	Brown	G13	13	Non-fiction	of	the multivalent ambiguities of sexual reference	sexual reference	reference	common	Y	inanimate	inanimate	inanimate	new	the multivalent ambiguities	ambiguities	inanimate	OTH	N	N	-3.301029996	2	3	68	1960
bg13.0014.01	Brown	G13	14	Non-fiction	of	The singular uncompromising force of their revolt against the cult of restraint	their revolt against the cult of restraint	revolt	common	N	inanimate	inanimate	inanimate	new	The singular uncompromising force	force	inanimate	OTH	N	N	-3	7	4	69	1960
bg13.0015.01	Brown	G13	15	Non-fiction	of	the expression of ungratified sexual desire	ungratified sexual desire	desire	common	N	inanimate	inanimate	inanimate	new	the expression	expression	inanimate	OTH	N	N	-3	3	2	69	1960
bg13.0019.01	Brown	G13	19	Non-fiction	of	the underground of the slums where they can defy the precepts of legalized propriety	the slums where they can defy the precepts of legalized propriety	slums	common	N	inanimate	inanimate	inanimate	new	the underground	underground	inanimate	OTH	N	N	-3.301029996	8	2	67	1960
bg13.0020.01	Brown	G13	20	Non-fiction	of	the heroes and flappers of the lost generation	the lost generation	generation	common	N	collective	collective	inanimate	given	the heroes and flappers	hero	animate	OTH	N	N	-2.301029996	3	4	66	1960
bg13.0023.01	Brown	G13	23	Non-fiction	of	the prophet of the beat generation	the beat generation	beat generation	common	N	collective	collective	inanimate	given	the prophet	prophet	animate	OTH	N	N	-2.397940009	3	2	75	1960
bg13.0024.01	Brown	G13	24	Non-fiction	of	"the vulgar , leering sexuality of the middle-class square in heat"	the middle-class square in heat	square	common	N	animate	animate	animate	given	"the vulgar , leering sexuality"	sexuality	inanimate	OTH	N	N	-2.698970004	5	5	73	1960
bg13.0031.03	Brown	G13	31	Non-fiction	of	the value of the sexual experience	the sexual experience	experience	common	Y	inanimate	inanimate	inanimate	given	the value	value	inanimate	OTH	N	N	-2.698970004	3	2	74	1960
bg13.0033.01	Brown	G13	33	Non-fiction	of	the musical language of sex	sex	sex	common	Y	inanimate	inanimate	inanimate	new	the musical language	language	inanimate	OTH	N	N	-1.610833916	1	3	74	1960
bg13.0039.01	Brown	G13	39	Non-fiction	of	The mystique of sex	sex	sex	common	Y	inanimate	inanimate	inanimate	new	The mystique	mystique	inanimate	OTH	N	N	-1.610833916	1	2	76	1960
bg13.0043.01	Brown	G13	43	Non-fiction	of	the child of nothingness	nothingness	nothingness	common	Y	inanimate	inanimate	inanimate	new	the child	child	animate	OTH	N	N	-3.301029996	1	2	61	1960
bg13.0043.02	Brown	G13	43	Non-fiction	of	the predestined victim of an age of atomic wars	an age of atomic wars	war	common	Y	inanimate	inanimate	inanimate	new	the predestined victim	victim	animate	OTH	N	N	-2.602059991	5	3	61	1960
bg13.0045.01	Brown	G13	45	Non-fiction	of	the members of the beat generation	the beat generation	beat generation	common	N	collective	collective	inanimate	given	the members	members	animate	OTH	N	N	-2.397940009	3	2	67	1960
bg13.0045.02	Brown	G13	45	Non-fiction	of	the title of the holy barbarians	the holy barbarians	barbarians	common	Y	animate	animate	animate	given	the title	title	inanimate	OTH	N	N	-3	3	2	67	1960
bg13.0045.03	Brown	G13	45	Non-fiction	of	"the shrines , temples , museums , and churches of the state that is the implacable enemy of the life they believe in"	the state that is the implacable enemy of the life they believe in	state	common	N	collective	collective	inanimate	new	"the shrines , temples , museums , and churches"	shrines	inanimate	OTH	N	N	-3	8	8	67	1960
bg13.0045.04	Brown	G13	45	Non-fiction	of	the implacable enemy of the life they believe in	the life they believe in	life	common	N	inanimate	inanimate	inanimate	new	the implacable enemy	enemy	inanimate	OTH	N	N	-2.259637311	5	3	67	1960
bg13.0046.01	Brown	G13	46	Non-fiction	of	the metaphysics of the orgasm	the orgasm	orgasm	common	N	inanimate	inanimate	inanimate	given	the metaphysics	metaphysics	inanimate	OTH	N	N	-2.522878745	2	2	71	1960
bg13.0048.01	Brown	G13	48	Non-fiction	of	the foe of life	life	life	common	N	inanimate	inanimate	inanimate	new	the foe	foe	inanimate	OTH	N	N	-2.259637311	1	2	75	1960
bg13.0048.03	Brown	G13	48	Non-fiction	of	the wisdom of the body	the body	body	common	N	inanimate	inanimate	inanimate	given	the wisdom	wisdom	inanimate	OTH	N	N	-2.823908741	2	2	75	1960
bg13.0049.02	Brown	G13	49	Non-fiction	of	the revolutionary rhythms of jazz	jazz	jazz	common	Y	inanimate	inanimate	inanimate	new	the revolutionary rhythms	rhythms	inanimate	OTH	N	N	-2.22184875	1	3	75	1960
bg13.0049.03	Brown	G13	49	Non-fiction	of	the climax of the orgasm	the orgasm	orgasm	common	N	inanimate	inanimate	inanimate	given	the climax	climax	inanimate	OTH	N	N	-2.522878745	2	2	75	1960
bg13.0050.02	Brown	G13	50	Non-fiction	of	the mentality of the psychopath	the psychopath	psychopath	common	N	animate	animate	animate	new	the mentality	mentality	inanimate	OTH	N	N	-3.301029996	2	2	73	1960
bg13.0051.02	Brown	G13	51	Non-fiction	of	the violence of revolt	revolt	revolt	common	N	inanimate	inanimate	inanimate	new	the violence	violence	inanimate	OTH	N	N	-3	1	2	73	1960
bg13.0055.01	Brown	G13	55	Non-fiction	of	the basis of their aesthetic creed	their aesthetic creed	creed	common	N	inanimate	inanimate	inanimate	new	the basis	basis	inanimate	OTH	N	N	-3.301029996	3	2	71	1960
bg13.0069.01	Brown	G13	69	Non-fiction	of	the initiates of this cult	this cult	cult	common	N	collective	collective	inanimate	given	the initiates	initiates	animate	OTH	N	N	-3	2	2	77	1960
bg13.0070.01	Brown	G13	70	Non-fiction	of	The professed mission of this disaffiliated generation	this disaffiliated generation	generation	common	N	collective	collective	inanimate	given	The professed mission	mission	inanimate	OTH	N	N	-2.301029996	3	3	77	1960
bg13.0071.01	Brown	G13	71	Non-fiction	of	the creative representatives of this movement	this movement	movement	common	N	inanimate	inanimate	inanimate	given	the creative representatives	representatives	animate	OTH	N	N	-3.301029996	2	3	73	1960
bg13.0072.01	Brown	G13	72	Non-fiction	of	the derelicts and outcasts of society	society	society	common	N	collective	collective	inanimate	given	the derelicts and outcasts	derelict	animate	OTH	N	N	-2.698970004	1	4	74	1960
bg13.0075.02	Brown	G13	75	Non-fiction	of	the laws of the state	the state	state	common	N	collective	collective	inanimate	given	the laws	laws	inanimate	OTH	N	N	-3	2	2	72	1960
bg13.0080.02	Brown	G13	80	Non-fiction	of	the secret of primitive religion	primitive religion	religion	common	N	inanimate	inanimate	inanimate	new	the secret	secret	inanimate	OTH	N	N	-3	2	2	73	1960
bg13.0083.02	Brown	G13	83	Non-fiction	of	the negative attitudes of the group	the group	group	common	N	collective	collective	inanimate	given	the negative attitudes	attitudes	inanimate	OTH	N	N	-3	2	3	68	1960
bg13.0085.01	Brown	G13	85	Non-fiction	of	this Mecca of the beat generation	the beat generation	beat generation	common	N	collective	collective	inanimate	given	this Mecca	Mecca	inanimate	OTH	N	N	-2.397940009	3	2	70	1960
bg13.0088.02	Brown	G13	88	Non-fiction	of	the ritual of sex	sex	sex	common	Y	inanimate	inanimate	inanimate	new	the ritual	ritual	inanimate	OTH	N	N	-1.610833916	1	2	74	1960
bg13.0091.01	Brown	G13	91	Non-fiction	of	the influence of marijuana	marijuana	marijuana	common	N	inanimate	inanimate	inanimate	new	the influence	influence	inanimate	OTH	N	N	-2.346787486	1	2	76	1960
bg13.0092.01	Brown	G13	92	Non-fiction	of	the organic rhythms of life	life	life	common	N	inanimate	inanimate	inanimate	new	the organic rhythms	rhythms	inanimate	OTH	N	N	-2.259637311	1	3	76	1960
bg13.0096.01	Brown	G13	96	Non-fiction	of	the nature of man	man	man	common	N	animate	animate	animate	new	the nature	nature	inanimate	OTH	N	Y	-2.602059991	1	2	78.26086957	1960
bg13.0096.03	Brown	G13	96	Non-fiction	of	the writers of the beat generation	the beat generation	beat generation	common	N	collective	collective	inanimate	given	the writers	writers	animate	OTH	N	N	-2.397940009	3	2	78.26086957	1960
bg17.0006.01	Brown	G17	6	Non-fiction	of	the renewal of interference in 1954	interference in 1954	interference	common	N	inanimate	inanimate	inanimate	new	the renewal	renewal	inanimate	OTH	N	N	-3.301029996	3	2	67	1960
bg17.0010.01	Brown	G17	10	Non-fiction	of	The traditional strategy of the South	the South	South	proper	N	collective	collective	inanimate	given	The traditional strategy	strategy	inanimate	OTH	N	N	-2.045757491	2	3	70	1960
bg17.0010.02	Brown	G17	10	Non-fiction	of	the vices of the North	the North	North	proper	N	collective	collective	inanimate	given	the vices	vices	inanimate	OTH	N	N	-2.22184875	2	2	70	1960
bg17.0012.02	Brown	G17	12	Non-fiction	of	the true spirit of integration	integration	integration	common	N	inanimate	inanimate	inanimate	new	the true spirit	spirit	inanimate	OTH	N	N	-3	1	3	82	1960
bg17.0017.01	Brown	G17	17	Non-fiction	s	Francis Thompson's words for the Hound Of Heaven's Pursuit	Francis Thompson's	Thompson	proper	N	animate	animate	animate	new	words for the Hound Of Heaven's Pursuit	word	inanimate	OTH	N	N	-3.301029996	2	7	77	1960
bg17.0022.01	Brown	G17	22	Non-fiction	s	Mr. Justice Taney's Dred Scott decision in 1857	Mr. Justice Taney's	Taney	proper	N	animate	animate	animate	new	Dred Scott decision in 1857	decision	inanimate	OTH	N	Y	-3.301029996	3	5	70	1960
bg17.0039.01	Brown	G17	39	Non-fiction	s	New Mexico's history	New Mexico's	New Mexico	proper	N	collective	collective	inanimate	given	history	history	inanimate	OTH	N	Y	-3	2	1	79	1960
bg17.0050.02	Brown	G17	50	Non-fiction	of	the best interests of the children	the children	children	common	N	animate	animate	animate	new	the best interests	interests	inanimate	OTH	N	Y	-2.602059991	2	3	72	1960
